CMDLINE python3 predict.py
MEM 1.121094 1661853699.3888
MEM 66.230469 1661853699.4891
MEM 97.656250 1661853699.5897
MEM 101.710938 1661853699.6900
MEM 112.113281 1661853699.7902
MEM 119.753906 1661853699.8905
MEM 124.988281 1661853699.9907
MEM 129.011719 1661853700.0909
MEM 132.332031 1661853700.1912
MEM 148.550781 1661853700.2914
MEM 152.636719 1661853700.3916
MEM 153.734375 1661853700.4921
MEM 162.234375 1661853700.5924
MEM 159.359375 1661853700.6926
MEM 245.984375 1661853700.7929
MEM 275.921875 1661853700.8931
MEM 360.781250 1661853700.9934
