CMDLINE python3 predict.py
MEM 0.738281 1661826547.9636
MEM 43.761719 1661826548.0640
MEM 87.480469 1661826548.1647
MEM 102.050781 1661826548.2650
MEM 120.128906 1661826548.3653
MEM 125.437500 1661826548.4662
MEM 141.167969 1661826548.5665
MEM 150.257812 1661826548.6669
MEM 168.640625 1661826548.7671
MEM 210.148438 1661826548.8676
MEM 217.167969 1661826548.9679
MEM 234.441406 1661826549.0683
MEM 251.972656 1661826549.1687
MEM 266.925781 1661826549.2691
MEM 269.484375 1661826549.3697
MEM 166.859375 1661826549.4700
MEM 0.000000 1661826549.5707
